Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^121]	Section 2(e), Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 2	30
[^122]	Section 4, Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 4	30
[^123]	Section 5, Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 5	30
[^124]	Section 28, Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 28	30
[^125]	Section 47, Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 47	30
[^126]	Writ no.069-WO-0268			0
[^127]	Guidelines (Procedural) for Access to Information, 2074 (2017), available at “https://www.nta.gov.np/uploads/contents/%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE%E0%A4%AE%E0%A4%BE\_%E0%A4%AA%E0%A4%B9%E0%A5%81%E0%A4%81%E0%A4%9A\_%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A5%80\_%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A4%BE,%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AA.pdf”	@GuidelinesProcedural2017		70
[^128]	Cause 3 (2), Guidelines (Procedural) for Access to Information, 2074 (2017)	@GuidelinesProcedural2017		70
[^129]	Clause 7, Guidelines (Procedural) for Access to Information, 2074 (2017)	@GuidelinesProcedural2017	Clause 7	70
[^130]	Clause 9, Guidelines (Procedural) for Access to Information, 2074 (2017)	@GuidelinesProcedural2017	Clause 9	70
[^131]	Clause 11, Guidelines (Procedural) for Access to Information, 2074 (2017)	@GuidelinesProcedural2017	Clause 11	70
[^132]	Clause 1, Directive for Internet Service Providers, 2077(2021)	@DirectiveInternet2021	Clause 1	40
[^133]	Clause 2, Directive for Internet Service Providers, 2077(2021)	@DirectiveInternet2021	Clause 2	40
